Date : 2025-12-25 19:37:30
Directory : c:\Users\Pichau\Documents\Unique
Total : 105 files,  27188 codes, 513 comments, 1331 blanks, all 29032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         51 |     18,029 |        369 |      1,004 |     19,402 |
| ui               |         14 |      3,871 |          0 |         25 |      3,896 |
| JSON             |          4 |      3,311 |          0 |          3 |      3,314 |
| JavaScript JSX   |         11 |        633 |        129 |        110 |        872 |
| PostCSS          |          4 |        551 |          5 |         86 |        642 |
| pip requirements |          2 |        350 |          0 |          0 |        350 |
| Ini              |          2 |        190 |          0 |         50 |        240 |
| JavaScript       |          8 |        176 |         10 |         43 |        229 |
| XML              |          6 |         39 |          0 |          0 |         39 |
| HTML             |          1 |         17 |          0 |          1 |         18 |
| Qrc              |          1 |         12 |          0 |          1 |         13 |
| Markdown         |          1 |          9 |          0 |          8 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        105 |     27,188 |        513 |      1,331 |     29,032 |
| . (Files)                                                                                   |          3 |        470 |          6 |         45 |        521 |
| .idea                                                                                       |          5 |         38 |          0 |          0 |         38 |
| .idea (Files)                                                                               |          4 |         32 |          0 |          0 |         32 |
| .idea\inspectionProfiles                                                                    |          1 |          6 |          0 |          0 |          6 |
| .qtcreator                                                                                  |          1 |          6 |          0 |          1 |          7 |
| backend                                                                                     |         31 |        989 |        117 |        285 |      1,391 |
| backend (Files)                                                                             |          5 |        167 |          3 |         33 |        203 |
| backend\alembic                                                                             |          3 |        194 |         60 |         37 |        291 |
| backend\alembic (Files)                                                                     |          1 |         49 |         32 |         21 |        102 |
| backend\alembic\versions                                                                    |          2 |        145 |         28 |         16 |        189 |
| backend\bd                                                                                  |          2 |         24 |          0 |          9 |         33 |
| backend\models                                                                              |          7 |        134 |          2 |         48 |        184 |
| backend\routers                                                                             |          7 |        345 |         37 |        123 |        505 |
| backend\schemas                                                                             |          7 |        125 |         15 |         35 |        175 |
| desktop                                                                                     |         37 |     21,008 |        246 |        750 |     22,004 |
| desktop (Files)                                                                             |          1 |        401 |         42 |        132 |        575 |
| desktop\connection                                                                          |          1 |         17 |          6 |          5 |         28 |
| desktop\pictures                                                                            |          2 |     14,596 |         47 |          9 |     14,652 |
| desktop\scripts                                                                             |          5 |        252 |         11 |         49 |        312 |
| desktop\window                                                                              |         25 |      4,979 |        120 |        419 |      5,518 |
| desktop\window (Files)                                                                      |          5 |      1,322 |         20 |         82 |      1,424 |
| desktop\window\form_box                                                                     |          2 |        621 |         10 |         44 |        675 |
| desktop\window\form_clients                                                                 |          2 |        591 |         10 |         61 |        662 |
| desktop\window\form_delivery                                                                |          4 |        372 |         20 |         36 |        428 |
| desktop\window\form_orders                                                                  |          6 |        656 |         30 |         63 |        749 |
| desktop\window\form_products                                                                |          6 |      1,417 |         30 |        133 |      1,580 |
| desktop\zcod_Utilitarios                                                                    |          3 |        763 |         20 |        136 |        919 |
| desktop\zcod_Utilitarios (Files)                                                            |          2 |        611 |         10 |        105 |        726 |
| desktop\zcod_Utilitarios\components                                                         |          1 |        152 |         10 |         31 |        193 |
| frontend                                                                                    |         28 |      4,677 |        144 |        250 |      5,071 |
| frontend (Files)                                                                            |          6 |      3,349 |          1 |         15 |      3,365 |
| frontend\public                                                                             |          1 |          1 |          0 |          0 |          1 |
| frontend\src                                                                                |         21 |      1,327 |        143 |        235 |      1,705 |
| frontend\src (Files)                                                                        |          2 |         35 |          1 |          6 |         42 |
| frontend\src\api                                                                            |          1 |          6 |          1 |          4 |         11 |
| frontend\src\components                                                                     |          7 |        314 |        107 |         66 |        487 |
| frontend\src\context                                                                        |          1 |          0 |          0 |          1 |          1 |
| frontend\src\hooks                                                                          |          4 |        137 |          8 |         34 |        179 |
| frontend\src\pages                                                                          |          2 |        284 |         21 |         38 |        343 |
| frontend\src\styles                                                                         |          4 |        551 |          5 |         86 |        642 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                    | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Pichau\Documents\Unique\.idea\Unique.iml                                           | XML              |         10 |          0 |          0 |         10 |
| c:\Users\Pichau\Documents\Unique\.idea\inspectionProfiles\profiles_settings.xml             | XML              |          6 |          0 |          0 |          6 |
| c:\Users\Pichau\Documents\Unique\.idea\misc.xml                                             | XML              |          7 |          0 |          0 |          7 |
| c:\Users\Pichau\Documents\Unique\.idea\modules.xml                                          | XML              |          8 |          0 |          0 |          8 |
| c:\Users\Pichau\Documents\Unique\.idea\vcs.xml                                              | XML              |          7 |          0 |          0 |          7 |
| c:\Users\Pichau\Documents\Unique\.qtcreator\project.json                                    | JSON             |          6 |          0 |          1 |          7 |
